Dam,Date,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
BON,01/01/2004,0,0,0,0,6,0,0,0,0,0,0
BON,01/02/2004,0,0,0,0,3,-5,0,0,0,0,0
BON,01/03/2004,0,0,0,0,16,4,0,0,0,0,0
BON,01/04/2004,0,0,1,0,16,8,0,0,0,0,0
BON,01/05/2004,0,0,0,0,0,0,0,0,0,0,0
BON,01/06/2004,0,0,0,0,-3,-3,0,0,0,0,0
BON,01/07/2004,0,0,0,0,3,0,0,0,0,0,0
BON,01/08/2004,0,0,0,0,0,0,0,0,0,0,0
BON,01/09/2004,0,0,0,0,1,0,0,0,0,0,0
BON,01/10/2004,0,0,0,0,-4,-2,0,0,0,0,0
BON,01/11/2004,0,0,0,0,0,0,0,0,0,0,0
BON,01/12/2004,0,0,0,0,18,2,0,0,0,0,0
BON,01/13/2004,0,0,0,0,3,2,0,0,0,0,0
BON,01/14/2004,0,0,0,0,18,-1,0,0,0,0,0
BON,01/15/2004,0,0,0,0,13,-1,0,0,0,0,0
BON,01/16/2004,0,0,0,0,3,-2,0,0,0,0,0
BON,01/17/2004,0,0,0,0,-2,0,0,0,0,0,0
BON,01/18/2004,0,0,0,0,7,1,0,0,0,0,0
BON,01/19/2004,0,0,0,0,21,0,0,0,0,0,0
BON,01/20/2004,0,0,0,0,14,1,0,0,0,0,0
BON,01/21/2004,0,0,0,0,6,-4,0,0,0,0,0
BON,01/22/2004,0,0,0,0,0,0,0,0,0,0,0
BON,01/23/2004,0,0,0,0,2,1,0,0,0,0,0
BON,01/24/2004,0,0,0,0,-1,-1,0,0,0,0,0
BON,01/25/2004,0,0,0,0,-4,-1,0,0,0,0,0
BON,01/26/2004,0,0,0,0,9,0,0,0,0,0,0
BON,01/27/2004,0,0,0,0,7,1,0,0,0,0,0
BON,01/28/2004,0,0,0,0,3,0,0,0,0,0,0
BON,01/29/2004,0,0,0,0,35,11,0,0,0,0,0
