Dam,Date,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
BON,03/15/2001,23,0,0,0,44,12,0,0,0,0,0
BON,03/16/2001,17,0,0,0,68,27,0,0,0,0,0
BON,03/17/2001,56,0,0,0,80,25,0,0,0,0,0
BON,03/18/2001,20,0,0,0,34,4,0,0,0,0,0
BON,03/19/2001,416,1,0,0,92,29,0,0,0,0,0
BON,03/20/2001,233,0,0,0,59,20,0,0,0,0,0
BON,03/21/2001,389,0,0,0,43,5,0,0,0,0,0
BON,03/22/2001,455,1,0,0,58,10,0,0,0,0,0
BON,03/23/2001,744,0,0,0,87,25,0,0,0,0,0
BON,03/24/2001,576,0,0,0,70,18,0,0,0,0,0
BON,03/25/2001,619,2,0,0,40,7,0,0,0,0,0
BON,03/26/2001,635,0,0,0,33,8,0,0,0,0,0
BON,03/27/2001,634,0,0,0,39,6,0,0,0,0,0
BON,03/28/2001,699,0,0,0,44,7,0,0,0,0,0
BON,03/29/2001,871,0,0,0,48,6,0,0,0,0,0
BON,03/30/2001,1200,0,0,0,71,14,0,0,0,0,0
BON,03/31/2001,942,0,0,0,66,25,0,0,0,0,0
BON,04/01/2001,4227,0,0,0,107,58,0,0,0,0,0
BON,04/02/2001,5433,10,0,0,88,38,0,0,0,0,0
BON,04/03/2001,6721,4,0,0,80,43,0,0,0,0,0
BON,04/04/2001,6772,6,0,0,71,36,0,0,0,0,0
BON,04/05/2001,9942,25,0,0,90,31,0,0,0,0,0
BON,04/06/2001,13156,18,0,0,88,31,0,0,0,0,0
BON,04/07/2001,7573,8,0,0,70,35,0,0,0,0,0
BON,04/08/2001,5027,1,0,0,56,24,0,0,0,0,0
BON,04/09/2001,9241,12,0,0,81,11,0,0,0,0,0
BON,04/10/2001,11742,17,0,0,45,22,0,0,0,0,0
BON,04/11/2001,14410,13,0,0,52,26,0,0,0,0,0
BON,04/12/2001,14520,14,0,0,49,8,0,0,0,0,0
BON,04/13/2001,17077,27,0,0,55,11,0,0,0,0,0
BON,04/14/2001,15691,32,0,0,60,28,0,0,0,0,0
BON,04/15/2001,19192,54,0,0,67,16,0,0,0,0,0
BON,04/16/2001,14994,52,0,0,64,23,0,0,0,0,0
BON,04/17/2001,13852,54,0,0,70,17,0,0,0,0,0
BON,04/18/2001,27020,158,0,0,72,13,0,0,0,0,0
BON,04/19/2001,15346,77,0,0,50,15,0,0,0,0,0
BON,04/20/2001,6801,34,0,0,65,24,0,0,0,0,0
BON,04/21/2001,7143,45,0,0,49,14,0,0,0,0,0
BON,04/22/2001,7535,60,0,0,45,16,0,0,0,0,0
BON,04/23/2001,4687,48,0,0,77,22,0,0,0,0,0
BON,04/24/2001,6357,114,0,0,91,9,0,0,0,0,0
BON,04/25/2001,7045,221,0,0,61,8,0,0,0,0,0
BON,04/26/2001,7689,237,0,0,90,24,0,0,0,0,0
BON,04/27/2001,7869,300,0,0,70,10,0,0,0,0,2
BON,04/28/2001,5702,248,0,0,49,0,0,0,0,0,0
BON,04/29/2001,3736,193,0,0,50,9,0,0,0,0,2
BON,04/30/2001,3719,182,0,0,41,7,0,0,0,1,5
BON,05/01/2001,4331,149,0,0,44,8,0,0,0,1,1
BON,05/02/2001,1326,130,0,0,30,10,0,0,0,1,0
BON,05/03/2001,3840,326,0,0,43,-2,0,0,0,0,0
BON,05/04/2001,8026,789,0,0,47,10,0,0,0,1,10
BON,05/05/2001,3022,441,0,0,71,14,0,0,0,0,26
BON,05/06/2001,2559,439,0,0,58,8,0,0,0,11,9
BON,05/07/2001,6082,1012,0,0,69,5,0,0,0,22,85
BON,05/08/2001,3767,893,0,0,102,10,0,0,0,0,187
BON,05/09/2001,2080,581,0,0,88,10,0,0,0,4,347
BON,05/10/2001,2098,500,0,0,78,17,0,0,0,11,363
BON,05/11/2001,2209,566,0,0,79,9,0,0,0,6,546
BON,05/12/2001,2957,571,0,0,104,10,0,0,0,5,306
BON,05/13/2001,2757,554,0,0,86,14,0,0,0,20,684
BON,05/14/2001,1976,397,0,0,61,9,0,0,0,11,4252
BON,05/15/2001,1770,291,0,0,59,13,0,0,0,14,1601
BON,05/16/2001,1377,292,0,0,61,8,0,0,0,12,10823
BON,05/17/2001,1938,392,0,0,73,14,0,0,0,14,2648
BON,05/18/2001,2004,338,0,0,64,10,0,0,0,16,2168
BON,05/19/2001,2079,318,0,0,81,20,0,0,0,49,4707
BON,05/20/2001,1836,284,0,0,127,17,0,0,0,47,4534
BON,05/21/2001,1843,288,0,0,143,24,0,0,0,71,7004
BON,05/22/2001,2162,272,0,0,168,20,0,0,0,178,25792
BON,05/23/2001,2241,308,0,0,157,15,0,0,0,84,29256
BON,05/24/2001,3061,320,0,0,147,18,0,0,0,163,77691
BON,05/25/2001,2745,271,0,0,179,24,1,0,0,235,50521
BON,05/26/2001,2750,246,0,0,185,32,0,0,0,166,72388
BON,05/27/2001,2432,203,0,0,166,25,2,0,0,314,87846
BON,05/28/2001,2127,197,0,0,162,37,3,0,0,214,69550
BON,05/29/2001,1907,166,0,0,138,19,4,0,0,143,47609
BON,05/30/2001,2007,174,0,0,170,30,8,0,0,116,84698
BON,05/31/2001,1310,196,0,0,177,32,14,0,0,146,118452
BON,06/01/2001,1660,205,0,0,239,47,28,0,0,250,144306
BON,06/02/2001,1779,216,0,0,254,56,68,0,0,232,44467
BON,06/03/2001,2182,207,0,0,318,58,96,0,0,173,40489
BON,06/04/2001,1577,204,0,0,306,58,115,0,0,170,85595
BON,06/05/2001,1421,183,0,0,287,63,147,0,0,360,107466
BON,06/06/2001,1457,214,0,0,315,50,201,0,0,306,63884
BON,06/07/2001,1447,200,0,0,318,60,357,0,0,201,97764
BON,06/08/2001,1423,145,0,0,377,59,506,0,0,358,122785
BON,06/09/2001,1572,174,0,0,383,66,641,0,0,608,99139
BON,06/10/2001,1237,230,0,0,466,104,1005,0,0,416,60070
BON,06/11/2001,1395,210,0,0,546,115,1505,0,0,558,55073
BON,06/12/2001,1382,170,0,0,563,124,1292,0,0,243,13737
BON,06/13/2001,1314,131,0,0,497,87,1449,0,0,128,14662
BON,06/14/2001,1440,159,0,0,577,131,1697,0,0,121,66170
BON,06/15/2001,1975,235,0,0,703,159,2918,0,0,236,55044
BON,06/16/2001,1839,315,0,0,914,206,4929,0,0,303,83059
BON,06/17/2001,1784,257,1,0,1085,280,5510,0,0,292,70608
BON,06/18/2001,1627,243,0,0,1022,250,7359,0,0,378,40142
BON,06/19/2001,1457,368,0,0,1075,300,8886,0,0,460,44392
BON,06/20/2001,1617,425,0,0,1286,332,10232,0,0,637,55340
BON,06/21/2001,1613,388,0,0,1343,373,8630,0,0,528,34501
BON,06/22/2001,1587,319,0,0,1402,433,8121,0,0,925,34994
BON,06/23/2001,1364,289,0,0,1214,376,6466,0,0,679,20667
BON,06/24/2001,1253,284,0,0,1250,404,5010,0,0,358,17250
BON,06/25/2001,1318,302,0,0,995,304,4599,0,0,220,14449
BON,06/26/2001,1029,245,0,0,928,339,3913,0,0,367,16796
BON,06/27/2001,1165,242,0,0,948,328,4081,0,0,437,14099
BON,06/28/2001,1287,305,1,0,1342,495,3650,0,0,471,16850
BON,06/29/2001,1193,252,0,0,1270,529,2232,0,0,408,8062
BON,06/30/2001,1194,266,0,0,1282,466,2201,0,0,320,8779
BON,07/01/2001,1848,445,0,0,1483,552,2596,0,0,131,3000
BON,07/02/2001,2016,463,0,0,1759,690,2446,0,0,130,3804
BON,07/03/2001,1701,352,0,0,2406,984,2134,0,0,156,5969
BON,07/04/2001,1346,291,0,0,2699,1159,1169,0,0,174,6566
BON,07/05/2001,1349,267,0,0,3247,1392,1173,0,0,184,2936
BON,07/06/2001,1220,248,0,0,4071,1841,1198,0,0,210,1678
BON,07/07/2001,1220,269,0,0,3917,1775,968,0,0,226,1083
BON,07/08/2001,1048,219,0,0,3404,1500,611,0,0,175,1001
BON,07/09/2001,1006,210,0,0,3390,1393,576,0,0,192,1413
BON,07/10/2001,1010,294,0,0,3561,1547,499,0,0,384,1969
BON,07/11/2001,1008,264,0,0,3500,1563,494,0,0,669,1321
BON,07/12/2001,934,227,0,0,3815,1720,443,0,0,535,1099
BON,07/13/2001,895,215,0,0,3839,1786,439,0,0,438,533
BON,07/14/2001,1129,218,0,0,5083,2420,315,0,0,286,530
BON,07/15/2001,918,208,0,0,5941,2691,263,0,0,284,674
BON,07/16/2001,698,154,0,0,5641,2485,214,0,0,294,613
BON,07/17/2001,746,157,0,0,4746,1991,206,0,0,277,609
BON,07/18/2001,980,205,0,0,5287,2249,180,0,0,458,910
BON,07/19/2001,920,166,0,0,4702,2095,145,0,0,541,463
BON,07/20/2001,1351,269,0,0,7591,3160,180,0,0,342,398
BON,07/21/2001,966,215,0,0,7243,2889,194,0,0,315,344
BON,07/22/2001,735,231,0,0,6727,2562,120,0,0,258,327
BON,07/23/2001,952,295,0,0,10181,3847,142,0,0,295,370
BON,07/24/2001,536,153,0,0,9362,3516,59,0,0,315,314
BON,07/25/2001,736,186,1,0,9743,3480,56,0,0,662,610
BON,07/26/2001,853,205,1,0,10646,3569,53,0,0,586,597
BON,07/27/2001,788,185,0,0,11371,3684,19,0,0,402,454
BON,07/28/2001,685,174,0,0,13579,4162,36,0,0,395,678
BON,07/29/2001,821,222,0,0,12277,3590,21,0,0,248,630
BON,07/30/2001,641,191,1,0,12984,3602,11,0,0,232,448
BON,07/31/2001,512,142,3,0,10608,2715,18,0,0,101,255
BON,08/01/2001,625,152,3,0,10573,2946,15,0,0,117,161
BON,08/02/2001,645,163,4,0,13229,3371,9,0,0,139,158
BON,08/03/2001,593,166,6,0,14432,3492,14,0,0,109,153
BON,08/04/2001,522,180,1,0,11937,2861,5,0,0,98,252
BON,08/05/2001,492,197,1,0,9938,2449,0,0,0,81,86
BON,08/06/2001,609,243,13,0,13151,2832,6,0,0,113,76
BON,08/07/2001,626,182,16,3,12933,2488,7,0,0,214,48
BON,08/08/2001,442,159,19,2,10979,2076,4,0,0,232,58
BON,08/09/2001,617,150,47,5,7875,1489,1,0,0,251,60
BON,08/10/2001,955,222,72,12,8422,1829,5,0,0,293,24
BON,08/11/2001,1098,236,80,9,9737,2141,0,0,0,204,36
BON,08/12/2001,949,200,85,34,8404,1384,1,0,0,178,100
BON,08/13/2001,726,127,74,10,7456,1473,2,0,0,121,86
BON,08/14/2001,628,114,30,14,6507,1280,0,0,0,210,50
BON,08/15/2001,408,92,18,2,5188,1066,2,0,0,162,59
BON,08/16/2001,501,87,10,1,3989,813,1,0,0,126,43
BON,08/17/2001,542,104,6,3,3230,677,0,0,0,158,14
BON,08/18/2001,839,127,14,3,3441,769,0,0,0,126,16
BON,08/19/2001,1396,201,27,9,4180,961,0,0,0,69,21
BON,08/20/2001,2328,422,120,33,5134,1170,1,0,0,73,18
BON,08/21/2001,2127,505,316,22,8518,1834,2,0,0,35,15
BON,08/22/2001,1967,479,496,67,9813,1777,0,0,0,13,8
BON,08/23/2001,1445,439,727,74,9495,1523,0,0,0,56,16
BON,08/24/2001,2036,453,840,71,6392,919,0,0,0,47,10
BON,08/25/2001,4712,734,1845,104,5578,954,2,0,0,61,8
BON,08/26/2001,12185,1610,5518,230,6594,1167,2,0,0,109,12
BON,08/27/2001,12651,2030,5409,296,7713,1329,0,0,0,349,20
BON,08/28/2001,13514,1784,6248,238,8522,1347,0,0,0,119,2
BON,08/29/2001,9186,1282,4874,307,6362,850,0,0,0,116,1
BON,08/30/2001,9048,1022,2524,226,5141,737,0,0,0,108,0
BON,08/31/2001,8028,998,1802,121,4387,762,0,0,0,54,0
