Dam,Date,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
BON,01/01/2014,1,0,1,-1,1,0,0,0,0,0,0
BON,01/02/2014,0,0,5,0,1,0,0,0,0,0,0
BON,01/03/2014,0,0,1,0,0,0,0,0,0,0,0
BON,01/04/2014,0,0,-3,-2,1,-1,0,0,0,0,0
BON,01/05/2014,1,0,-3,0,7,4,0,0,0,0,0
BON,01/06/2014,0,0,0,0,8,4,0,0,0,0,0
BON,01/07/2014,0,0,2,0,-1,0,0,0,0,0,0
BON,01/08/2014,0,0,2,1,4,-1,0,0,0,0,0
BON,01/09/2014,0,0,0,0,6,4,0,0,0,0,0
BON,01/10/2014,0,0,0,0,46,16,0,0,0,0,0
BON,01/11/2014,1,1,0,0,19,12,1,0,0,0,0
BON,01/12/2014,1,0,0,0,31,14,0,0,0,0,0
BON,01/13/2014,0,0,0,0,29,11,0,0,0,0,0
BON,01/14/2014,0,0,0,0,24,9,0,0,0,0,0
BON,01/15/2014,0,0,0,0,11,6,0,0,0,0,0
BON,01/16/2014,0,0,0,0,0,0,0,0,0,0,0
BON,01/17/2014,0,0,0,0,11,6,1,0,0,0,0
BON,01/18/2014,0,0,0,0,3,3,0,0,0,0,0
BON,01/19/2014,0,0,0,0,-2,-3,0,0,0,0,0
BON,01/20/2014,0,0,0,0,2,0,0,0,0,0,0
BON,01/21/2014,0,0,0,0,4,1,0,0,0,0,0
BON,01/22/2014,0,0,0,0,3,1,0,0,0,0,0
BON,01/23/2014,0,0,0,0,3,-1,0,0,0,0,0
BON,01/24/2014,0,0,0,0,0,1,0,0,0,0,0
BON,01/25/2014,0,0,0,0,0,0,0,0,0,0,0
BON,01/26/2014,0,0,0,0,2,0,0,0,0,0,0
BON,01/27/2014,0,0,0,0,4,1,0,0,0,0,0
BON,01/28/2014,0,0,0,0,1,1,0,0,0,0,0
BON,01/29/2014,0,0,0,0,3,2,0,0,0,0,0
BON,01/30/2014,0,0,0,0,14,5,0,0,0,0,0
BON,01/31/2014,0,0,0,0,3,-1,0,0,0,0,0
BON,02/01/2014,0,0,0,0,7,2,0,0,0,0,0
BON,02/02/2014,0,0,0,0,4,3,0,0,0,0,0
BON,02/03/2014,0,0,0,0,4,3,0,0,0,0,0
BON,02/04/2014,0,0,0,0,1,0,0,0,0,0,0
BON,02/05/2014,0,0,0,0,0,0,0,0,0,0,0
BON,02/06/2014,0,0,0,0,0,0,0,0,0,0,0
BON,02/07/2014,0,0,0,0,2,3,0,0,0,0,0
BON,02/08/2014,0,0,0,0,2,0,0,0,0,0,0
BON,02/09/2014,0,0,0,0,1,1,0,0,0,0,0
BON,02/10/2014,0,0,0,0,2,1,0,0,0,0,0
BON,02/11/2014,0,0,0,0,-2,0,0,0,0,0,0
BON,02/12/2014,0,0,0,0,8,4,0,0,0,0,0
BON,02/13/2014,0,0,0,0,11,6,0,0,0,0,0
BON,02/14/2014,0,0,0,0,17,3,0,0,0,0,0
BON,02/15/2014,0,0,0,0,10,6,0,0,0,0,0
BON,02/16/2014,0,0,0,0,16,6,0,0,0,0,0
BON,02/17/2014,0,0,0,0,25,13,0,0,0,0,0
BON,02/18/2014,0,0,0,0,19,6,0,0,0,0,0
BON,02/19/2014,0,0,0,0,19,8,0,0,0,0,0
BON,02/20/2014,0,0,0,0,17,9,0,0,0,0,0
BON,02/21/2014,0,0,0,0,10,7,0,0,0,0,0
BON,02/22/2014,0,0,0,0,-4,1,0,0,0,0,0
BON,02/23/2014,0,0,0,0,15,9,0,0,0,0,0
BON,02/24/2014,0,0,0,0,11,7,0,0,0,0,0
BON,02/25/2014,0,0,0,0,10,6,0,0,0,0,0
BON,02/26/2014,0,0,0,0,3,1,0,0,0,0,0
BON,02/27/2014,0,0,0,0,8,5,0,0,0,0,0
BON,02/28/2014,0,0,0,0,19,8,0,0,0,0,0
BON,03/01/2014,0,0,0,0,19,12,0,0,0,0,0
BON,03/02/2014,0,0,0,0,8,3,0,0,0,0,0
BON,03/03/2014,0,0,0,0,26,16,0,0,0,0,0
BON,03/04/2014,0,0,0,0,51,24,0,0,0,0,0
BON,03/05/2014,0,0,0,0,66,24,0,0,0,0,0
BON,03/06/2014,0,0,0,0,139,68,0,0,0,0,0
BON,03/07/2014,0,0,0,0,90,24,0,0,0,0,0
BON,03/08/2014,1,0,0,0,36,15,0,0,0,0,0
BON,03/09/2014,0,0,0,0,56,12,0,0,0,0,0
BON,03/10/2014,0,0,0,0,34,7,0,0,0,0,0
BON,03/11/2014,0,0,0,0,56,19,0,0,0,0,0
BON,03/12/2014,0,0,0,0,60,22,0,0,0,0,0
BON,03/13/2014,0,0,0,0,49,22,0,0,0,0,0
BON,03/14/2014,0,0,0,0,61,8,0,0,0,0,0
BON,03/15/2014,1,0,0,0,55,13,0,0,0,0,0
BON,03/16/2014,2,0,0,0,101,23,0,0,0,0,0
BON,03/17/2014,2,0,0,0,81,10,0,0,0,0,0
BON,03/18/2014,0,0,0,0,107,24,0,0,0,0,0
BON,03/19/2014,5,0,0,0,66,12,0,0,0,0,0
BON,03/20/2014,3,0,0,0,74,2,0,0,0,0,0
BON,03/21/2014,8,0,0,0,132,30,0,0,0,0,0
BON,03/22/2014,11,0,0,0,95,14,0,0,0,0,0
BON,03/23/2014,20,0,0,0,94,26,0,0,0,0,0
BON,03/24/2014,27,1,0,0,81,28,0,0,0,0,0
BON,03/25/2014,43,0,0,0,77,29,0,0,0,0,0
BON,03/26/2014,47,1,0,0,73,22,0,0,0,0,0
BON,03/27/2014,85,2,0,0,89,32,0,0,0,0,0
BON,03/28/2014,89,1,0,0,93,33,0,0,0,0,0
BON,03/29/2014,65,1,0,0,58,13,0,0,0,0,0
BON,03/30/2014,30,1,0,0,53,22,0,0,0,0,0
BON,03/31/2014,92,1,0,0,40,9,0,0,0,0,0
BON,04/01/2014,19,0,0,0,26,12,0,0,0,0,0
BON,04/02/2014,66,0,0,0,32,8,0,0,0,0,0
BON,04/03/2014,157,1,0,0,46,9,0,0,0,0,0
BON,04/04/2014,141,1,0,0,37,11,0,0,0,0,0
BON,04/05/2014,157,2,0,0,44,12,0,0,0,0,0
BON,04/06/2014,212,1,0,0,44,13,0,0,0,1,0
BON,04/07/2014,187,1,0,0,48,24,1,0,0,0,0
BON,04/08/2014,243,1,0,0,59,20,0,0,0,0,0
BON,04/09/2014,346,1,0,0,61,14,0,0,0,0,0
BON,04/10/2014,413,1,0,0,46,9,0,0,0,0,0
BON,04/11/2014,445,0,0,0,43,13,0,0,0,0,0
BON,04/12/2014,787,3,0,0,44,20,0,0,0,0,0
BON,04/13/2014,895,6,0,0,57,20,0,0,0,0,0
BON,04/14/2014,1368,5,0,0,52,18,0,0,0,0,0
BON,04/15/2014,1756,5,0,0,44,10,0,0,0,0,0
BON,04/16/2014,1509,4,0,0,34,8,0,0,0,0,0
BON,04/17/2014,1384,8,0,0,38,13,0,0,0,0,0
BON,04/18/2014,2256,9,0,0,46,12,0,0,0,0,0
BON,04/19/2014,1350,5,0,0,42,11,0,0,0,0,0
BON,04/20/2014,2264,10,0,0,28,-2,0,0,0,0,0
BON,04/21/2014,2866,18,0,0,45,15,0,0,0,0,0
BON,04/22/2014,3701,27,0,0,26,5,0,0,0,0,0
BON,04/23/2014,2512,30,0,0,26,13,0,0,0,0,0
BON,04/24/2014,4057,47,0,0,36,4,0,0,0,0,0
BON,04/25/2014,4355,54,0,0,53,8,0,0,0,0,0
BON,04/26/2014,7176,76,0,0,41,8,0,0,0,1,0
BON,04/27/2014,3906,54,0,0,32,9,0,0,0,0,0
BON,04/28/2014,7709,128,0,0,48,5,0,0,0,0,0
BON,04/29/2014,8481,186,0,0,53,7,0,0,0,0,0
BON,04/30/2014,17409,519,0,0,43,10,1,0,0,0,0
BON,05/01/2014,14011,662,0,0,37,8,0,0,0,0,0
BON,05/02/2014,9846,669,0,0,45,12,0,0,0,0,1
BON,05/03/2014,4520,314,0,0,30,6,1,0,0,0,3
BON,05/04/2014,5775,535,0,0,35,6,0,0,0,0,0
BON,05/05/2014,6944,1032,0,0,38,8,0,0,0,0,6
BON,05/06/2014,5201,922,0,0,40,4,4,0,0,0,4
BON,05/07/2014,5309,1374,0,0,70,8,0,0,0,1,13
BON,05/08/2014,4259,1258,0,0,50,4,0,0,0,0,19
BON,05/09/2014,4537,1500,0,0,30,-2,0,0,0,0,25
BON,05/10/2014,3042,992,0,0,47,5,0,0,0,0,11
BON,05/11/2014,3866,1790,0,0,34,1,0,0,0,0,123
BON,05/12/2014,3563,1529,0,0,40,2,0,0,0,0,1215
BON,05/13/2014,2104,1018,0,0,46,11,0,0,0,4,1395
BON,05/14/2014,1995,1028,0,0,67,12,0,0,0,2,2640
BON,05/15/2014,1923,851,0,0,52,5,0,0,0,4,5119
BON,05/16/2014,2639,1154,0,0,77,6,0,0,0,28,4904
BON,05/17/2014,2757,986,0,0,82,10,0,0,0,25,6010
BON,05/18/2014,1969,728,0,0,75,8,1,0,0,54,6163
BON,05/19/2014,2064,777,0,0,103,16,0,0,0,52,4546
BON,05/20/2014,2273,746,0,0,70,14,0,0,0,187,10056
BON,05/21/2014,1827,584,0,0,84,12,0,0,0,309,23193
BON,05/22/2014,1675,529,0,0,50,8,0,0,0,164,13591
BON,05/23/2014,2093,598,0,0,65,16,1,0,0,188,10134
BON,05/24/2014,1955,580,0,0,61,9,1,0,0,137,15742
BON,05/25/2014,2069,430,0,0,79,17,2,0,0,260,41232
BON,05/26/2014,1929,415,0,0,64,14,0,0,0,298,26859
BON,05/27/2014,2001,444,0,0,61,10,3,0,0,239,38311
BON,05/28/2014,1895,372,0,0,70,24,3,0,0,180,43081
BON,05/29/2014,1691,399,0,0,70,16,8,0,0,232,56798
BON,05/30/2014,1652,312,0,0,74,18,16,0,0,127,75911
BON,05/31/2014,2037,354,0,0,83,15,10,0,0,108,99981
BON,06/01/2014,2165,334,0,0,98,25,17,0,0,174,83856
BON,06/02/2014,1956,318,0,0,95,26,30,0,0,103,94964
BON,06/03/2014,2136,322,0,0,117,35,76,0,0,146,84472
BON,06/04/2014,2471,345,0,0,110,24,120,0,0,306,72975
BON,06/05/2014,2394,374,0,0,151,37,192,0,0,213,87422
BON,06/06/2014,2701,358,0,0,171,35,399,0,0,478,118132
BON,06/07/2014,2973,421,0,0,155,37,640,0,0,549,121348
BON,06/08/2014,2962,475,0,0,174,48,851,0,0,466,169741
BON,06/09/2014,2497,427,0,0,259,57,1101,0,0,451,77474
BON,06/10/2014,2568,459,0,0,234,65,1648,0,0,204,64581
BON,06/11/2014,2698,482,0,0,266,72,2420,0,0,163,85323
BON,06/12/2014,2584,548,0,0,269,66,3725,0,0,241,91200
BON,06/13/2014,2520,563,0,0,233,79,3944,0,0,587,63315
BON,06/14/2014,2529,509,0,0,249,81,4297,0,0,219,60082
BON,06/15/2014,1709,379,0,0,234,60,3869,0,0,118,37112
BON,06/16/2014,2143,460,0,0,193,71,4968,0,0,348,47955
BON,06/17/2014,2212,532,0,0,230,77,5233,0,0,294,65620
BON,06/18/2014,2973,543,0,0,281,79,7404,0,0,127,123633
BON,06/19/2014,2024,437,0,0,307,104,8533,0,0,446,106465
BON,06/20/2014,2021,486,0,0,411,142,14506,0,0,198,106434
