Dam,Date,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
BON,03/15/1999,0,0,0,0,37,0,0,0,0,0,0
BON,03/16/1999,0,0,0,0,21,1,0,0,0,0,0
BON,03/17/1999,0,0,0,0,8,2,0,0,0,0,0
BON,03/18/1999,3,0,0,0,23,0,0,0,0,0,0
BON,03/19/1999,4,0,0,0,27,3,0,0,0,0,0
BON,03/20/1999,12,0,0,0,36,0,0,0,0,0,0
BON,03/21/1999,10,0,0,0,32,0,0,0,0,0,0
BON,03/22/1999,21,1,0,0,14,3,0,0,0,0,0
BON,03/23/1999,8,0,0,0,9,0,0,0,0,0,0
BON,03/24/1999,12,0,0,0,24,-1,0,0,0,0,0
BON,03/25/1999,13,0,0,0,24,0,0,0,0,0,0
BON,03/26/1999,4,0,0,0,12,-1,0,0,0,0,0
BON,03/27/1999,8,0,0,0,16,0,0,0,0,0,0
BON,03/28/1999,7,0,0,0,20,0,0,0,0,0,0
BON,03/29/1999,17,0,0,0,25,0,0,0,0,0,0
BON,03/30/1999,16,0,0,0,18,0,0,0,0,0,0
BON,03/31/1999,14,0,0,0,9,0,0,0,0,0,0
BON,04/01/1999,37,0,0,0,36,14,0,0,0,0,0
BON,04/02/1999,53,1,0,0,27,8,0,0,0,0,0
BON,04/03/1999,43,0,0,0,29,8,0,0,0,0,0
BON,04/04/1999,44,0,0,0,32,11,0,0,0,0,0
BON,04/05/1999,69,0,0,0,25,9,0,0,0,0,0
BON,04/06/1999,103,1,0,0,25,1,0,0,0,0,0
BON,04/07/1999,105,1,0,0,27,6,0,0,0,0,0
BON,04/08/1999,160,0,0,0,25,6,0,0,0,0,0
BON,04/09/1999,165,1,0,0,16,5,0,0,0,0,0
BON,04/10/1999,174,0,0,0,17,3,0,0,0,0,0
BON,04/11/1999,178,0,0,0,26,6,0,0,0,0,0
BON,04/12/1999,417,2,0,0,17,5,0,0,0,0,0
BON,04/13/1999,459,2,0,0,41,12,0,0,0,0,0
BON,04/14/1999,398,1,0,0,45,6,0,0,0,0,0
