Dam,Date,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
BON,03/15/1998,11,0,0,0,16,4,0,0,0,0,0
BON,03/16/1998,10,0,0,0,43,7,0,0,0,0,0
BON,03/17/1998,8,0,0,0,30,4,0,0,0,0,0
BON,03/18/1998,1,0,0,0,3,0,0,0,0,0,0
BON,03/19/1998,6,0,0,0,19,7,0,0,0,0,0
BON,03/20/1998,5,0,0,0,28,5,0,0,0,0,0
BON,03/21/1998,9,0,0,0,18,2,0,0,0,0,0
BON,03/22/1998,19,0,0,0,27,4,0,0,0,0,0
BON,03/23/1998,41,0,0,0,60,10,0,0,0,0,0
BON,03/24/1998,2,0,0,0,19,-2,0,0,0,0,0
BON,03/25/1998,14,0,0,0,48,8,0,0,0,0,0
BON,03/26/1998,15,0,0,0,30,4,0,0,0,0,0
BON,03/27/1998,42,0,0,0,30,4,0,0,0,0,0
BON,03/28/1998,20,0,0,0,17,1,0,0,0,0,0
BON,03/29/1998,21,0,0,0,27,2,0,0,0,0,0
BON,03/30/1998,37,0,0,0,37,10,0,0,0,0,0
BON,03/31/1998,75,0,0,0,28,6,0,0,0,0,0
BON,04/01/1998,148,0,0,0,45,14,0,0,0,0,0
BON,04/02/1998,240,0,0,0,35,13,0,0,0,0,0
BON,04/03/1998,185,0,0,0,38,9,0,0,0,0,0
BON,04/04/1998,310,1,0,0,35,3,0,0,0,0,0
BON,04/05/1998,290,1,0,0,32,9,0,0,0,0,0
BON,04/06/1998,603,0,0,0,60,15,0,0,0,0,0
BON,04/07/1998,441,-1,0,0,43,16,0,0,0,0,0
BON,04/08/1998,434,0,0,0,35,11,0,0,0,0,0
BON,04/09/1998,592,0,0,0,49,11,0,0,0,0,0
BON,04/10/1998,724,0,0,0,39,12,0,0,0,0,0
BON,04/11/1998,774,1,0,0,34,5,0,0,0,0,0
BON,04/12/1998,771,5,0,0,36,7,0,0,0,0,0
BON,04/13/1998,903,2,0,0,25,7,0,0,0,0,0
BON,04/14/1998,816,0,0,0,16,4,0,0,0,0,0
BON,04/15/1998,671,2,0,0,11,-3,0,0,0,0,0
BON,04/16/1998,697,2,0,0,17,4,0,0,0,0,0
BON,04/17/1998,775,2,0,0,28,4,0,0,0,0,0
BON,04/18/1998,881,2,0,0,32,6,0,0,0,0,0
BON,04/19/1998,1634,3,0,0,10,2,0,0,0,0,0
BON,04/20/1998,1115,1,0,0,23,6,0,0,0,0,0
BON,04/21/1998,1921,3,0,0,41,12,0,0,0,0,0
BON,04/22/1998,1546,11,0,0,31,9,0,0,0,0,0
BON,04/23/1998,1215,6,0,0,27,5,0,0,0,0,0
BON,04/24/1998,824,5,0,0,14,5,0,0,0,0,0
BON,04/25/1998,663,2,0,0,27,11,0,0,0,0,0
BON,04/26/1998,1005,3,0,0,23,7,0,0,0,0,0
BON,04/27/1998,972,6,0,0,16,4,0,0,0,0,0
BON,04/28/1998,1187,12,0,0,16,2,0,0,0,0,0
BON,04/29/1998,1052,20,0,0,20,-1,0,0,0,0,0
BON,04/30/1998,936,14,0,0,24,7,0,0,0,0,1
BON,05/01/1998,1289,10,0,0,29,1,0,0,0,0,5
BON,05/02/1998,1121,11,0,0,24,2,0,0,0,0,1
BON,05/03/1998,750,18,0,0,37,3,0,0,0,0,2
BON,05/04/1998,863,35,0,0,23,4,0,0,0,0,85
BON,05/05/1998,801,24,0,0,43,12,0,0,0,0,86
BON,05/06/1998,733,27,0,0,35,1,0,0,0,0,529
BON,05/07/1998,590,37,0,0,40,3,0,0,0,0,295
BON,05/08/1998,468,20,0,0,35,0,0,0,0,0,234
BON,05/09/1998,383,30,0,0,29,1,0,0,0,0,83
BON,05/10/1998,368,25,0,0,34,3,0,0,0,0,61
BON,05/11/1998,277,14,0,0,40,8,0,0,0,0,356
BON,05/12/1998,325,20,0,0,35,4,0,0,0,0,724
BON,05/13/1998,275,23,0,0,35,1,0,0,0,0,879
BON,05/14/1998,356,30,0,0,39,0,0,0,0,0,696
BON,05/15/1998,267,22,0,0,28,0,0,0,0,0,643
BON,05/16/1998,320,12,0,0,24,1,0,0,0,0,723
BON,05/17/1998,350,33,0,0,54,1,0,0,0,0,1077
BON,05/18/1998,295,24,0,0,48,1,0,0,0,0,933
BON,05/19/1998,315,24,0,0,46,10,0,0,0,0,2291
BON,05/20/1998,270,21,0,0,56,2,0,0,0,0,964
BON,05/21/1998,221,16,0,0,69,5,0,0,0,0,1660
BON,05/22/1998,244,29,0,0,86,4,0,0,0,0,873
BON,05/23/1998,313,29,0,0,87,6,0,0,0,0,11860
BON,05/24/1998,304,20,0,0,57,0,0,0,0,0,15055
