Dam,Date,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
BON,01/01/2002,0,0,0,0,36,2,0,0,0,0,0
BON,01/02/2002,1,0,0,0,36,2,0,0,0,0,0
BON,01/03/2002,0,0,0,0,15,4,0,0,0,0,0
BON,01/04/2002,0,0,0,0,15,2,0,0,0,0,0
BON,01/05/2002,0,0,0,0,9,0,0,0,0,0,0
BON,01/06/2002,1,0,0,0,36,1,0,0,0,0,0
BON,01/07/2002,0,0,0,0,69,7,0,0,0,0,0
BON,01/08/2002,10,0,0,0,21,0,0,0,0,0,0
BON,01/09/2002,1,0,0,0,8,0,0,0,0,0,0
BON,01/10/2002,0,0,0,0,65,0,0,0,0,0,0
BON,01/11/2002,0,0,0,0,41,0,0,0,0,0,0
BON,01/12/2002,0,0,0,0,44,16,0,0,0,0,0
BON,01/13/2002,0,0,0,0,26,4,0,0,0,0,0
BON,01/14/2002,0,0,0,0,35,7,0,0,0,0,0
BON,01/15/2002,0,0,0,0,21,2,0,0,0,0,0
BON,01/16/2002,1,0,0,0,31,6,0,0,0,0,0
BON,01/17/2002,0,0,0,0,50,8,0,0,0,0,0
BON,01/18/2002,0,0,0,0,26,1,0,0,0,0,0
BON,01/19/2002,0,0,0,0,34,3,0,0,0,0,0
BON,01/20/2002,0,0,0,0,52,-10,0,0,0,0,0
BON,01/21/2002,0,0,0,0,92,9,0,0,0,0,0
BON,01/22/2002,0,0,0,0,28,1,0,0,0,0,0
BON,01/23/2002,0,0,0,0,33,-6,0,0,0,0,0
BON,01/24/2002,0,0,0,0,40,-11,0,0,0,0,0
BON,01/25/2002,0,0,0,0,110,-9,0,0,0,0,0
BON,01/26/2002,0,0,0,0,51,-1,0,0,0,0,0
BON,01/27/2002,0,0,0,0,41,-1,0,0,0,0,0
BON,01/28/2002,0,0,0,0,25,1,0,0,0,0,0
BON,01/29/2002,0,0,0,0,4,-1,0,0,0,0,0
BON,01/30/2002,0,0,0,0,5,0,0,0,0,0,0
BON,01/31/2002,0,0,0,0,8,-2,0,0,0,0,0
BON,02/01/2002,0,0,0,0,6,0,0,0,0,0,0
BON,02/02/2002,0,0,0,0,8,1,0,0,0,0,0
BON,02/03/2002,0,0,0,0,11,2,0,0,0,0,0
BON,02/04/2002,1,0,0,0,2,4,0,0,0,0,0
BON,02/05/2002,1,0,0,0,11,2,0,0,0,0,0
BON,02/06/2002,0,0,0,0,17,1,0,0,0,0,0
BON,02/07/2002,1,0,0,0,17,1,0,0,0,0,0
BON,02/08/2002,0,0,0,0,47,10,0,0,0,0,0
BON,02/09/2002,1,0,0,0,15,3,0,0,0,0,0
BON,02/10/2002,0,0,0,0,35,1,0,0,0,0,0
BON,02/11/2002,0,0,0,0,15,3,0,0,0,0,0
BON,02/12/2002,0,0,0,0,29,-3,0,0,0,0,0
BON,02/13/2002,2,0,0,0,20,-5,0,0,0,0,0
BON,02/14/2002,3,0,0,0,19,-2,0,0,0,0,0
BON,02/15/2002,0,0,0,0,31,-4,0,0,0,0,0
BON,02/16/2002,0,0,0,0,3,-2,0,0,0,0,0
BON,02/17/2002,2,0,0,0,4,1,0,0,0,0,0
BON,02/18/2002,1,0,0,0,11,1,0,0,0,0,0
BON,02/19/2002,1,0,0,0,19,1,0,0,0,0,0
BON,02/20/2002,-1,0,0,0,31,1,0,0,0,0,0
BON,02/21/2002,4,0,0,0,46,5,0,0,0,0,0
BON,02/22/2002,9,0,0,0,105,14,0,0,0,0,0
BON,02/23/2002,12,0,0,0,71,4,0,0,0,0,0
BON,02/24/2002,0,0,0,0,76,3,0,0,0,0,0
BON,02/25/2002,7,0,0,0,27,2,0,0,0,0,0
BON,02/26/2002,14,0,0,0,31,2,0,0,0,0,0
BON,02/27/2002,7,0,0,0,41,3,0,0,0,0,0
BON,02/28/2002,13,0,0,0,30,2,0,0,0,0,0
BON,03/01/2002,15,0,0,0,22,2,0,0,0,0,0
BON,03/02/2002,7,0,0,0,-8,-2,0,0,0,0,0
BON,03/03/2002,1,0,0,0,23,-1,0,0,0,0,0
BON,03/04/2002,10,0,0,0,11,-1,0,0,0,0,0
BON,03/05/2002,6,0,0,0,45,3,0,0,0,0,0
BON,03/06/2002,11,0,0,0,19,3,0,0,0,0,0
BON,03/07/2002,5,0,0,0,9,1,0,0,0,0,0
BON,03/08/2002,8,0,0,0,23,4,0,0,0,0,0
BON,03/09/2002,25,0,0,0,24,3,0,0,0,0,0
BON,03/10/2002,59,0,0,0,30,0,0,0,0,0,0
BON,03/11/2002,112,0,0,0,52,12,0,0,0,0,0
BON,03/12/2002,162,0,0,0,12,-11,0,0,0,0,0
BON,03/13/2002,90,0,0,0,48,-2,0,0,0,0,0
BON,03/14/2002,104,0,0,0,46,-6,0,0,0,0,0
BON,03/15/2002,76,0,0,0,33,-8,0,0,0,0,0
BON,03/16/2002,143,0,0,0,49,8,0,0,0,0,0
BON,03/17/2002,75,0,0,0,19,-1,0,0,0,0,0
BON,03/18/2002,127,0,0,0,21,1,0,0,0,0,0
BON,03/19/2002,105,0,0,0,24,2,0,0,0,0,0
BON,03/20/2002,129,0,0,0,58,0,0,0,0,0,0
BON,03/21/2002,227,0,0,0,64,7,0,0,0,0,0
BON,03/22/2002,32,0,0,0,28,0,0,0,0,0,0
BON,03/23/2002,70,0,0,0,59,2,0,0,0,0,0
BON,03/24/2002,69,0,0,0,70,2,0,0,0,0,0
BON,03/25/2002,58,0,0,0,60,1,0,0,0,0,0
BON,03/26/2002,95,0,0,0,111,13,0,0,0,0,0
BON,03/27/2002,131,0,0,0,74,2,0,0,0,0,0
BON,03/28/2002,193,0,0,0,68,8,0,0,0,0,0
BON,03/29/2002,154,0,0,0,13,0,0,0,0,0,0
BON,03/30/2002,64,0,0,0,59,4,0,0,0,0,0
BON,03/31/2002,127,0,0,0,100,11,0,0,0,0,0
BON,04/01/2002,454,0,0,0,142,56,0,0,0,0,0
BON,04/02/2002,806,0,0,0,165,49,0,0,0,0,0
BON,04/03/2002,676,1,0,0,126,50,0,0,0,0,0
BON,04/04/2002,908,1,0,0,114,44,0,0,0,0,0
BON,04/05/2002,863,1,0,0,103,32,0,0,0,0,0
BON,04/06/2002,584,0,0,0,94,29,0,0,0,0,0
BON,04/07/2002,1090,0,0,0,135,51,0,0,0,0,0
BON,04/08/2002,2096,1,0,0,140,54,0,0,0,0,0
BON,04/09/2002,1015,2,0,0,133,48,0,0,0,0,0
BON,04/10/2002,1343,1,0,0,114,37,0,0,0,0,0
BON,04/11/2002,1320,0,0,0,102,40,0,0,0,0,0
BON,04/12/2002,2156,5,0,0,96,51,0,0,0,0,0
BON,04/13/2002,2616,4,0,0,102,40,0,0,0,0,0
BON,04/14/2002,5884,20,0,0,121,69,0,0,0,0,0
BON,04/15/2002,2401,3,0,0,89,30,0,0,0,0,0
BON,04/16/2002,1516,1,0,0,80,44,0,0,0,0,0
