Dam,Date,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
BON,03/15/1993,1,0,0,0,37,0,0,0,0,0,0
BON,03/16/1993,0,0,0,0,61,0,0,0,0,0,0
BON,03/17/1993,0,0,0,0,36,0,0,0,0,0,0
BON,03/18/1993,0,0,0,0,30,0,0,0,0,0,0
BON,03/19/1993,2,0,0,0,54,0,0,0,0,0,1
BON,03/20/1993,5,0,0,0,24,0,0,0,0,0,2
BON,03/21/1993,13,0,0,0,78,0,0,0,0,0,8
BON,03/22/1993,24,0,0,0,61,0,0,0,0,0,0
BON,03/23/1993,10,0,0,0,-4,0,0,0,0,0,0
BON,03/24/1993,3,0,0,0,28,0,0,0,0,0,0
BON,03/25/1993,16,0,0,0,72,0,0,0,0,0,0
BON,03/26/1993,4,0,0,0,63,0,0,0,0,0,0
BON,03/27/1993,5,0,0,0,42,0,0,0,0,0,0
BON,03/28/1993,15,0,0,0,40,0,0,0,0,0,0
BON,03/29/1993,23,0,0,0,68,0,0,0,0,0,0
BON,03/30/1993,51,0,0,0,31,0,0,0,0,0,0
BON,03/31/1993,54,0,0,0,50,0,0,0,0,0,0
BON,04/01/1993,212,0,0,0,99,0,0,0,0,0,0
BON,04/02/1993,147,0,0,0,56,0,0,0,0,0,0
BON,04/03/1993,178,1,0,0,88,0,0,0,0,0,0
BON,04/04/1993,224,1,0,0,101,0,0,0,0,0,0
BON,04/05/1993,476,0,0,0,60,0,0,0,0,0,0
BON,04/06/1993,562,0,0,0,48,0,0,0,0,0,0
BON,04/07/1993,327,0,0,0,93,0,0,0,0,0,0
BON,04/08/1993,255,1,0,0,70,0,0,0,0,0,0
BON,04/09/1993,400,1,0,0,63,0,0,0,0,0,0
BON,04/10/1993,505,2,0,0,30,0,0,0,0,0,0
BON,04/11/1993,624,1,0,0,55,0,0,0,0,0,0
BON,04/12/1993,711,2,0,0,69,0,0,0,0,0,0
BON,04/13/1993,1033,6,0,0,77,0,0,0,0,0,0
BON,04/14/1993,3097,6,0,0,81,0,0,0,0,0,0
BON,04/15/1993,5560,12,0,0,67,0,0,0,0,0,0
BON,04/16/1993,4798,6,0,0,58,0,0,0,0,0,0
BON,04/17/1993,4230,3,0,0,37,0,0,0,0,0,0
BON,04/18/1993,3241,4,0,0,48,0,0,0,0,0,0
BON,04/19/1993,4036,7,0,0,58,0,0,0,0,0,0
BON,04/20/1993,4202,21,0,0,55,0,0,0,0,0,1
BON,04/21/1993,5315,36,0,0,71,0,0,0,0,0,0
BON,04/22/1993,4900,40,0,0,62,0,0,0,0,0,0
