Dam,Date,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
BON,03/15/1980,1,0,0,0,16,0,0,0,0,0,0
BON,03/16/1980,-1,0,0,0,55,0,0,0,0,0,0
BON,03/17/1980,1,0,0,0,58,0,0,0,0,0,0
BON,03/18/1980,1,0,0,0,68,0,0,0,0,0,0
BON,03/19/1980,1,0,0,0,73,0,0,0,0,0,0
BON,03/20/1980,3,1,0,0,74,0,0,0,0,0,0
BON,03/21/1980,27,0,0,0,150,0,0,0,0,0,0
BON,03/22/1980,14,0,0,0,48,0,0,0,0,0,0
BON,03/23/1980,19,0,0,0,84,0,0,0,0,0,0
BON,03/24/1980,32,0,0,0,69,0,0,0,0,0,0
BON,03/25/1980,81,2,0,0,95,0,0,0,0,0,0
BON,03/26/1980,35,0,0,0,72,0,0,0,0,0,0
BON,03/27/1980,70,0,0,0,51,0,0,0,0,0,0
BON,03/28/1980,71,1,0,0,68,0,0,0,0,0,0
BON,03/29/1980,43,0,0,0,74,0,0,0,0,0,0
BON,03/30/1980,71,1,0,0,46,0,0,0,0,0,0
BON,03/31/1980,60,1,0,0,38,0,0,0,0,0,0
BON,04/01/1980,198,0,0,0,61,0,0,0,0,0,0
BON,04/02/1980,166,4,0,0,100,0,0,0,0,0,0
BON,04/03/1980,132,8,0,0,104,0,0,0,0,0,0
BON,04/04/1980,194,5,0,0,117,0,0,0,0,0,0
BON,04/05/1980,293,2,0,0,171,0,0,0,0,0,0
BON,04/06/1980,393,0,0,0,144,0,0,0,0,0,0
BON,04/07/1980,471,6,0,0,141,0,0,0,0,0,0
BON,04/08/1980,319,2,0,0,159,0,0,0,0,0,0
BON,04/09/1980,305,6,0,0,155,0,0,0,0,0,0
BON,04/10/1980,429,13,0,0,161,0,0,0,0,0,0
BON,04/11/1980,408,22,0,0,172,0,0,0,0,0,0
BON,04/12/1980,785,54,0,0,125,0,0,0,0,0,0
BON,04/13/1980,1043,68,0,0,152,0,0,0,0,0,0
BON,04/14/1980,1435,73,0,0,94,0,0,0,0,0,0
BON,04/15/1980,969,41,0,0,115,0,0,0,0,0,0
BON,04/16/1980,1286,42,0,0,213,0,0,0,0,0,0
BON,04/17/1980,1614,49,0,0,158,0,0,0,0,0,0
BON,04/18/1980,972,68,0,0,128,0,0,0,0,0,0
BON,04/19/1980,1290,54,0,0,118,0,0,0,0,0,0
BON,04/20/1980,810,59,0,0,75,0,0,0,0,0,0
BON,04/21/1980,1369,81,0,0,103,0,0,0,0,0,0
BON,04/22/1980,1147,79,0,0,88,0,0,0,0,0,0
BON,04/23/1980,1408,124,0,0,78,0,0,0,0,0,0
BON,04/24/1980,1378,100,0,0,86,0,0,0,0,0,0
BON,04/25/1980,1400,142,0,0,81,0,0,0,0,0,0
BON,04/26/1980,1341,119,0,0,54,0,0,0,0,0,0
BON,04/27/1980,2181,222,0,0,59,0,0,0,0,0,0
BON,04/28/1980,2440,225,0,0,52,0,0,0,0,0,0
BON,04/29/1980,1438,156,0,0,58,0,0,0,0,0,0
BON,04/30/1980,1107,187,0,0,56,0,0,0,0,0,0
BON,05/01/1980,1132,234,0,0,63,0,0,0,0,0,0
BON,05/02/1980,1117,247,0,0,79,0,0,0,0,0,0
BON,05/03/1980,945,270,0,0,27,0,0,0,0,0,0
BON,05/04/1980,1453,319,0,0,52,0,0,0,0,0,0
BON,05/05/1980,1948,347,0,0,49,0,0,0,0,0,0
BON,05/06/1980,1648,374,0,0,51,0,0,0,0,0,0
BON,05/07/1980,1407,261,0,0,50,0,0,0,0,0,0
BON,05/08/1980,1033,231,0,0,48,0,0,0,0,0,0
BON,05/09/1980,1153,346,0,0,47,0,0,0,0,0,0
BON,05/10/1980,1047,304,0,0,32,0,0,0,0,0,0
BON,05/11/1980,1181,289,0,0,22,0,0,0,0,0,0
BON,05/12/1980,1318,356,0,0,55,0,0,0,0,0,0
BON,05/13/1980,1328,327,0,0,67,0,0,0,0,0,1
BON,05/14/1980,1193,260,0,0,68,0,0,0,0,0,1
BON,05/15/1980,696,162,0,0,54,0,0,0,0,0,1
BON,05/16/1980,527,209,0,0,52,0,0,0,0,0,0
BON,05/17/1980,525,195,0,0,49,0,0,0,0,0,1
BON,05/18/1980,413,187,0,0,58,0,0,0,0,0,2
BON,05/19/1980,527,184,0,0,49,0,0,0,0,0,42
BON,05/20/1980,481,115,0,0,26,0,0,0,0,0,41
BON,05/21/1980,427,104,0,0,47,0,0,0,0,0,65
BON,05/22/1980,331,83,0,0,40,0,0,0,0,0,39
BON,05/23/1980,335,84,0,0,39,0,0,0,0,0,39
BON,05/24/1980,211,65,0,0,15,0,0,0,0,0,103
BON,05/25/1980,200,33,0,0,14,0,0,0,0,0,41
BON,05/26/1980,188,33,0,0,16,0,0,0,0,0,43
BON,05/27/1980,208,50,0,0,28,0,0,0,0,0,45
BON,05/28/1980,242,49,0,0,52,0,0,0,0,0,104
BON,05/29/1980,226,59,0,0,56,0,0,0,0,0,230
BON,05/30/1980,184,64,0,0,64,0,0,0,0,0,259
BON,05/31/1980,226,29,0,0,40,0,0,0,0,0,403
BON,06/01/1980,247,49,0,0,66,0,0,0,0,0,761
BON,06/02/1980,250,60,0,0,83,0,0,0,0,0,883
BON,06/03/1980,310,57,0,0,72,0,1,0,0,0,2316
BON,06/04/1980,309,60,0,0,98,0,8,0,0,0,4809
