Dam,Date,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
BON,01/01/2016,2,1,0,0,18,8,0,0,0,0,0
BON,01/02/2016,1,0,0,0,21,9,0,0,0,0,0
BON,01/03/2016,0,0,0,0,6,2,0,0,0,0,0
BON,01/04/2016,0,0,0,0,15,7,0,0,0,0,0
BON,01/05/2016,0,0,0,0,17,6,0,0,0,0,0
BON,01/06/2016,-1,0,0,0,6,1,0,0,0,0,0
BON,01/07/2016,0,0,0,0,7,3,0,0,0,0,0
BON,01/08/2016,1,0,0,0,14,4,0,0,0,0,0
BON,01/09/2016,0,0,0,0,0,1,0,0,0,0,0
BON,01/10/2016,0,0,0,0,1,-1,0,0,0,0,0
BON,01/11/2016,0,0,0,0,4,1,0,0,0,0,0
BON,01/12/2016,3,0,0,0,0,0,0,0,0,0,0
BON,01/13/2016,0,0,0,0,2,1,0,0,0,0,0
BON,01/14/2016,0,0,0,0,5,2,0,0,0,0,0
BON,01/15/2016,0,1,0,0,2,2,0,0,0,0,0
BON,01/16/2016,0,0,0,0,13,3,0,0,0,0,0
BON,01/17/2016,0,-1,0,0,11,3,0,0,0,0,0
BON,01/18/2016,0,0,0,0,11,4,0,0,0,0,0
BON,01/19/2016,0,0,0,0,12,2,0,0,0,0,0
BON,01/20/2016,0,0,0,0,10,2,0,0,0,0,0
BON,01/21/2016,0,0,0,0,13,8,0,0,0,0,0
BON,01/22/2016,0,0,0,0,9,6,0,0,0,0,0
BON,01/23/2016,0,0,0,0,22,7,0,0,0,0,0
BON,01/24/2016,0,0,0,0,21,10,0,0,0,1,0
BON,01/25/2016,0,0,0,0,21,10,1,0,0,0,0
BON,01/26/2016,0,0,0,0,6,3,0,0,0,0,0
BON,01/27/2016,0,0,0,0,3,0,0,0,0,0,0
BON,01/28/2016,0,0,0,0,8,6,0,0,0,0,0
BON,01/29/2016,0,0,0,0,4,5,0,0,0,-2,0
BON,01/30/2016,0,0,0,0,11,6,0,0,0,0,0
BON,01/31/2016,0,0,0,0,21,10,0,0,0,0,0
BON,02/01/2016,0,0,0,0,14,6,0,0,0,0,0
BON,02/02/2016,0,0,0,0,11,3,0,0,0,0,0
BON,02/03/2016,0,0,0,0,10,1,0,0,0,0,0
BON,02/04/2016,1,0,0,0,4,2,0,0,0,0,0
BON,02/05/2016,0,0,0,0,10,3,0,0,0,0,0
BON,02/06/2016,0,0,0,0,13,4,0,0,0,0,0
BON,02/07/2016,0,0,0,0,28,13,0,0,0,0,0
BON,02/08/2016,0,0,0,0,9,5,0,0,0,0,0
BON,02/09/2016,0,0,0,0,11,4,0,0,0,0,0
BON,02/10/2016,1,0,0,0,7,1,0,0,0,0,0
BON,02/11/2016,0,0,0,0,5,3,0,0,0,0,0
BON,02/12/2016,1,0,0,0,15,7,0,0,0,0,0
BON,02/13/2016,0,0,0,0,26,9,0,0,0,0,0
BON,02/14/2016,0,0,0,0,28,12,0,0,0,0,0
BON,02/15/2016,0,0,0,0,92,40,0,0,0,0,0
BON,02/16/2016,1,0,0,0,114,48,0,0,0,0,0
BON,02/17/2016,0,0,0,0,51,17,0,0,0,0,0
BON,02/18/2016,0,0,0,0,76,28,0,0,0,0,0
BON,02/19/2016,0,0,0,0,62,32,0,0,0,0,0
BON,02/20/2016,-1,0,0,0,28,12,0,0,0,0,0
BON,02/21/2016,0,0,0,0,38,14,0,0,0,0,0
BON,02/22/2016,1,0,0,0,37,21,0,0,0,0,0
BON,02/23/2016,1,0,0,0,33,13,0,0,0,0,0
BON,02/24/2016,0,0,0,0,18,6,0,0,0,0,0
BON,02/25/2016,0,0,0,0,21,4,0,0,0,0,0
BON,02/26/2016,0,0,0,0,39,16,0,0,0,0,0
BON,02/27/2016,0,0,0,0,27,12,0,0,0,0,0
BON,02/28/2016,0,0,0,0,27,8,0,0,0,0,0
BON,02/29/2016,0,0,0,0,38,14,0,0,0,0,0
BON,03/01/2016,0,0,0,0,58,20,0,0,0,0,0
BON,03/02/2016,2,0,0,0,64,15,0,0,0,0,0
BON,03/03/2016,1,0,0,0,86,46,0,0,0,0,0
BON,03/04/2016,4,0,0,0,67,28,0,0,0,0,0
BON,03/05/2016,3,0,0,0,54,28,0,0,0,0,0
BON,03/06/2016,1,0,0,0,62,26,0,0,0,0,0
BON,03/07/2016,5,0,0,0,77,29,0,0,0,0,0
BON,03/08/2016,2,0,0,0,30,17,0,0,0,0,0
BON,03/09/2016,2,0,0,0,36,13,0,0,0,0,0
BON,03/10/2016,2,0,0,0,56,21,0,0,0,0,0
BON,03/11/2016,2,0,0,0,49,18,0,0,0,0,0
BON,03/12/2016,2,0,0,0,39,18,0,0,0,0,0
BON,03/13/2016,1,1,0,0,35,19,0,0,0,0,0
BON,03/14/2016,1,0,0,0,91,51,0,0,0,0,0
BON,03/15/2016,1,0,0,0,22,12,0,0,0,0,0
BON,03/16/2016,8,0,0,0,49,27,0,0,0,0,0
BON,03/17/2016,6,0,0,0,44,24,0,0,0,0,0
BON,03/18/2016,1,0,0,0,52,26,0,0,0,0,0
BON,03/19/2016,5,0,0,0,41,17,0,0,0,0,0
BON,03/20/2016,7,1,0,0,45,25,0,0,0,0,0
BON,03/21/2016,4,0,0,0,29,18,0,0,0,0,0
BON,03/22/2016,2,0,0,0,34,20,0,0,0,0,0
BON,03/23/2016,4,0,0,0,30,14,0,0,0,0,0
BON,03/24/2016,6,1,0,0,71,34,0,0,0,0,0
BON,03/25/2016,12,1,0,0,60,29,0,0,0,0,0
BON,03/26/2016,13,0,0,0,51,23,0,0,0,0,0
BON,03/27/2016,12,0,0,0,56,27,0,0,0,0,0
BON,03/28/2016,27,0,0,0,49,28,0,0,0,0,0
BON,03/29/2016,19,0,0,0,35,14,0,0,0,0,0
BON,03/30/2016,24,0,0,0,47,21,0,0,0,0,0
BON,03/31/2016,47,0,0,0,50,22,0,0,0,0,0
BON,04/01/2016,54,1,0,0,50,20,0,0,0,0,0
BON,04/02/2016,75,0,0,0,54,16,0,0,0,0,0
BON,04/03/2016,90,2,0,0,54,17,0,0,0,0,0
BON,04/04/2016,96,0,0,0,22,13,0,0,0,0,0
BON,04/05/2016,154,0,0,0,34,15,0,0,0,0,0
BON,04/06/2016,118,0,0,0,49,21,0,0,0,0,0
