Dam,Date,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
BON,01/01/2007,0,0,0,0,12,4,0,0,0,0,0
BON,01/02/2007,0,0,0,0,38,13,0,0,0,0,0
BON,01/03/2007,0,0,0,0,60,20,0,0,0,0,0
BON,01/04/2007,0,0,0,0,70,24,0,0,0,0,0
BON,01/05/2007,0,0,0,0,24,6,0,0,0,0,0
BON,01/06/2007,0,0,0,0,64,20,0,0,0,0,0
BON,01/07/2007,0,0,0,0,42,14,0,0,0,0,0
BON,01/08/2007,0,0,0,0,41,13,0,0,0,0,0
BON,01/09/2007,0,0,0,0,42,13,0,0,0,0,0
BON,01/10/2007,0,0,0,0,40,11,0,0,0,0,0
BON,01/11/2007,0,0,0,0,14,6,0,0,0,0,0
BON,01/12/2007,0,0,-1,0,16,4,0,0,0,0,0
BON,01/13/2007,0,0,0,0,11,5,0,0,0,0,0
BON,01/14/2007,0,0,-1,0,2,1,0,0,0,0,0
BON,01/15/2007,0,0,0,0,4,2,0,0,0,0,0
BON,01/16/2007,0,0,0,0,7,2,0,0,0,0,0
BON,01/17/2007,0,0,0,0,17,-2,0,0,0,0,0
BON,01/18/2007,0,0,0,0,9,1,0,0,0,0,0
BON,01/19/2007,1,0,0,0,11,4,0,0,0,0,0
BON,01/20/2007,0,0,0,0,13,2,0,0,0,0,0
BON,01/21/2007,0,0,0,0,12,1,0,0,0,0,0
BON,01/22/2007,0,0,0,0,7,2,0,0,0,0,0
BON,01/23/2007,0,0,0,0,1,1,0,0,0,0,0
BON,01/24/2007,0,0,0,0,14,4,0,0,0,0,0
BON,01/25/2007,0,0,0,0,2,1,0,0,0,0,0
BON,01/26/2007,0,0,0,0,2,0,0,0,0,0,0
BON,01/27/2007,0,0,0,0,9,2,0,0,0,0,0
BON,01/28/2007,0,0,0,0,3,1,0,0,0,0,0
BON,01/29/2007,0,0,0,0,9,2,0,0,0,0,0
BON,01/30/2007,0,0,0,0,2,0,0,0,0,0,0
BON,01/31/2007,0,0,0,0,3,1,0,0,0,0,0
BON,02/01/2007,0,0,0,0,7,1,0,0,0,0,0
BON,02/02/2007,0,0,0,0,9,2,0,0,0,0,0
BON,02/03/2007,0,0,0,0,8,2,0,0,0,0,0
BON,02/04/2007,0,0,0,0,5,0,0,0,0,0,0
BON,02/05/2007,0,0,0,0,8,4,0,0,0,0,0
BON,02/06/2007,0,0,0,0,2,1,0,0,0,0,0
BON,02/07/2007,0,0,0,0,-1,0,0,0,0,0,0
BON,02/08/2007,0,0,0,0,1,1,0,0,0,0,0
BON,02/09/2007,0,0,0,0,7,2,0,0,0,0,0
BON,02/10/2007,0,0,0,0,12,4,0,0,0,0,0
BON,02/11/2007,0,0,0,0,7,1,0,0,0,0,0
BON,02/12/2007,0,0,0,0,8,1,0,0,0,0,0
BON,02/13/2007,0,0,0,0,5,1,0,0,0,0,0
