Dam,Date,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
BON,03/15/2000,4,0,0,0,58,31,0,0,0,0,0
BON,03/16/2000,3,0,0,0,45,26,0,0,0,0,0
BON,03/17/2000,4,0,0,0,38,19,0,0,0,0,0
BON,03/18/2000,2,0,0,0,45,21,0,0,0,0,0
BON,03/19/2000,6,0,0,0,32,18,0,0,0,0,0
BON,03/20/2000,8,1,0,0,24,15,0,0,0,0,0
BON,03/21/2000,23,1,0,0,43,13,0,0,0,0,0
BON,03/22/2000,33,1,0,0,52,28,0,0,0,0,0
BON,03/23/2000,16,0,0,0,66,21,0,0,0,0,0
BON,03/24/2000,37,0,0,0,51,25,0,0,0,0,0
BON,03/25/2000,86,1,0,0,44,17,0,0,0,0,0
BON,03/26/2000,84,0,0,0,18,5,0,0,0,0,0
BON,03/27/2000,132,-1,0,0,30,13,0,0,0,0,0
BON,03/28/2000,290,1,0,0,53,10,0,0,0,0,0
BON,03/29/2000,200,0,0,0,53,11,0,0,0,0,0
BON,03/30/2000,178,3,0,0,40,17,0,0,0,0,0
BON,03/31/2000,330,4,0,0,38,11,0,0,0,0,0
BON,04/01/2000,1693,4,0,0,58,24,0,0,0,0,0
BON,04/02/2000,2076,9,0,0,61,32,0,0,0,0,0
BON,04/03/2000,1872,15,0,0,59,21,0,0,0,0,0
BON,04/04/2000,2833,16,0,0,55,34,0,0,0,0,0
BON,04/05/2000,1754,17,0,0,43,26,0,0,0,0,0
BON,04/06/2000,916,7,0,0,53,29,0,0,0,0,0
BON,04/07/2000,1299,6,0,0,45,26,0,0,0,0,0
BON,04/08/2000,1104,12,0,0,49,22,0,0,0,0,0
BON,04/09/2000,2147,25,0,0,37,21,0,0,0,0,0
BON,04/10/2000,3161,42,0,0,34,13,0,0,0,0,0
BON,04/11/2000,4539,54,0,0,34,15,0,0,0,0,0
BON,04/12/2000,3824,57,0,0,49,24,0,0,0,0,0
BON,04/13/2000,5313,62,0,0,35,17,0,0,0,0,0
BON,04/14/2000,3258,64,0,0,40,12,0,0,0,0,0
BON,04/15/2000,2028,65,0,0,22,6,0,0,0,0,0
BON,04/16/2000,2678,73,0,0,44,13,0,0,0,0,0
BON,04/17/2000,8635,246,0,0,37,13,0,0,0,4,0
BON,04/18/2000,7026,150,0,0,22,3,0,0,0,4,0
BON,04/19/2000,7164,245,0,0,43,14,0,0,0,0,0
BON,04/20/2000,5551,241,0,0,36,10,0,0,0,11,0
BON,04/21/2000,7434,327,0,0,46,11,0,0,0,19,0
BON,04/22/2000,6513,283,0,0,51,20,0,0,0,23,0
BON,04/23/2000,4357,285,0,0,47,14,0,0,0,8,0
BON,04/24/2000,3399,304,0,0,43,9,0,0,0,1,1
BON,04/25/2000,5877,567,0,0,33,6,0,0,0,1,0
BON,04/26/2000,4457,535,0,0,30,10,0,0,0,1,0
BON,04/27/2000,7606,746,0,0,19,2,0,0,0,8,4
BON,04/28/2000,6842,646,0,0,19,6,0,0,0,5,1
BON,04/29/2000,3432,432,0,0,38,5,0,0,0,5,0
BON,04/30/2000,3233,552,0,0,16,-1,0,0,0,1,0
BON,05/01/2000,4666,703,0,0,29,6,0,0,0,6,0
BON,05/02/2000,5211,972,0,0,21,-2,0,0,0,6,2
BON,05/03/2000,4633,818,0,0,26,-1,0,0,0,5,2
BON,05/04/2000,4522,1004,0,0,15,-5,0,0,0,4,6
BON,05/05/2000,4368,1104,0,0,24,0,0,0,0,11,36
BON,05/06/2000,3223,941,0,0,40,-2,0,0,0,6,23
BON,05/07/2000,3449,983,0,0,39,1,0,0,0,12,50
BON,05/08/2000,2364,873,0,0,49,6,0,0,0,13,134
BON,05/09/2000,2270,736,0,0,42,12,0,0,0,5,61
BON,05/10/2000,1249,559,0,0,55,18,0,0,0,20,68
BON,05/11/2000,992,511,0,0,55,9,0,0,0,-1,32
BON,05/12/2000,1432,705,0,0,78,22,0,0,0,10,55
BON,05/13/2000,1399,585,0,0,80,34,0,0,0,7,115
BON,05/14/2000,1300,480,0,0,53,18,0,0,0,11,568
BON,05/15/2000,1184,377,0,0,54,7,0,0,0,19,2075
BON,05/16/2000,1116,368,0,0,80,14,0,0,0,25,2048
BON,05/17/2000,1085,329,0,0,47,10,0,0,0,18,1063
BON,05/18/2000,827,292,0,0,87,7,0,0,0,13,1697
BON,05/19/2000,986,238,0,0,77,8,0,0,0,12,4540
BON,05/20/2000,737,185,0,0,90,16,0,0,0,24,7733
BON,05/21/2000,748,222,0,0,95,13,0,0,0,48,8317
BON,05/22/2000,909,203,0,0,91,20,0,0,0,228,14439
BON,05/23/2000,633,167,0,0,67,10,1,0,0,332,22614
BON,05/24/2000,632,213,0,0,72,11,0,0,0,241,26921
BON,05/25/2000,666,216,0,0,61,16,6,0,0,198,24599
BON,05/26/2000,765,278,0,0,59,6,2,0,0,107,16619
BON,05/27/2000,869,274,0,0,86,19,6,0,0,128,13527
BON,05/28/2000,784,267,0,0,95,25,14,0,0,191,21379
BON,05/29/2000,771,268,0,0,124,27,25,0,0,212,17040
BON,05/30/2000,493,140,0,0,70,20,39,0,0,201,19222
BON,05/31/2000,562,150,0,0,87,19,47,0,0,92,24359
BON,06/01/2000,482,150,0,0,86,18,66,0,0,42,33022
BON,06/02/2000,459,200,0,0,134,28,70,0,0,311,71836
BON,06/03/2000,471,226,0,0,135,18,129,0,0,446,54037
BON,06/04/2000,518,223,0,0,156,36,240,0,0,364,28923
BON,06/05/2000,643,241,0,0,164,50,432,0,0,246,37483
BON,06/06/2000,702,203,0,0,193,53,502,0,0,130,43097
BON,06/07/2000,549,171,0,0,200,40,526,0,0,238,35814
BON,06/08/2000,479,178,0,0,162,49,606,0,0,136,35401
BON,06/09/2000,522,163,0,0,197,62,641,0,0,177,20751
BON,06/10/2000,525,172,0,0,181,46,682,0,0,90,20287
BON,06/11/2000,597,185,0,0,221,58,1066,0,0,189,10489
BON,06/12/2000,486,221,0,0,245,55,1251,0,0,217,13327
BON,06/13/2000,489,290,0,0,233,63,1646,0,0,261,57103
BON,06/14/2000,550,239,0,0,255,73,2032,0,0,351,100900
BON,06/15/2000,566,242,0,0,263,86,2016,0,0,449,43412
BON,06/16/2000,629,216,0,0,306,91,2256,0,0,225,35300
BON,06/17/2000,559,198,0,0,252,96,2987,0,0,361,30868
BON,06/18/2000,734,264,0,0,313,102,3934,0,0,299,29820
BON,06/19/2000,735,302,0,0,472,147,4809,0,0,309,18036
BON,06/20/2000,691,377,0,0,611,220,7587,0,0,158,21415
BON,06/21/2000,651,341,0,0,704,262,8450,0,0,180,18429
BON,06/22/2000,910,299,0,0,891,300,8867,0,0,181,41683
BON,06/23/2000,652,286,0,0,770,336,5612,0,0,195,26250
BON,06/24/2000,542,208,0,0,899,401,4590,0,0,339,22037
BON,06/25/2000,641,318,0,0,769,355,3933,0,0,192,23465
BON,06/26/2000,705,233,0,0,828,388,4031,0,0,320,27883
BON,06/27/2000,630,229,0,0,924,408,3276,0,0,541,22063
BON,06/28/2000,654,261,0,0,868,417,2803,0,0,492,14518
